1,C,,,,,,,,,,
,Z-7e-Chapter,  13,,,,,,,,,
,activate-exam,  1,,,,,,,,,
,bloom-rating,  3,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A18,,,,,,,,,
,ques-code,  ML-083,,,,,,,,,
,topic,  Formal Charge; Lewis Structures,,,,,,,,,
2,E,,,,,,,,,,
,Z-7e-Chapter,  4,,,,,,,,,
,activate-exam,  2,,,,,,,,,
,bloom-rating,  3,,,,,,,,,
,instructor,  inst3,,,,,,,,,
,qtr,  W19,,,,,,,,,
,ques-code,  ML-387,,,,,,,,,
,topic,  Oxidation State; Redox Rxn,,,,,,,,,
3,C,,,,,,,,,,
,Z-7e-Chapter,  4,,,,,,,,,
,activate-exam,  2,,,,,,,,,
,bloom-rating,  2,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A16,,,,,,,,,
,ques-code,  ML-211,,,,,,,,,
,topic,  Diagram; Limiting Reactant; Precipitation Rxn; Solubility Rules,,,,,,,,,
4,E,,,,,,,,,,
,Z-7e-Chapter,  3,,,,,,,,,
,activate-exam,  2,,,,,,,,,
,bloom-rating,  3,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A18,,,,,,,,,
,ques-code,  ML-056,,,,,,,,,
,topic,  Empirical Formula; Molecular Formula,,,,,,,,,
5,B,,,,,,,,,,
,Z-7e-Chapter,  15,,,,,,,,,
,activate-exam,  2,,,,,,,,,
,bloom-rating,  3,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A17,,,,,,,,,
,ques-code,  ML-152,,,,,,,,,
,topic,  Balance Chemical Rxn; Concentration vs. Time; Diagram,,,,,,,,,
6,E,,,,,,,,,,
,Z-7e-Chapter,  12,,,,,,,,,
,activate-exam,  1,,,,,,,,,
,bloom-rating,  2,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A16,,,,,,,,,
,ques-code,  ML-181,,,,,,,,,
7,C,,,,,,,,,,
,Z-7e-Chapter,  15,,,,,,,,,
,activate-exam,  Final,,,,,,,,,
,bloom-rating,  5,,,,,,,,,
,instructor,  inst3,,,,,,,,,
,qtr,  W18,,,,,,,,,
,ques-code,  ML-331,,,,,,,,,
,topic,  Method of Initial Rates,,,,,,,,,
8,D,,,,,,,,,,
,Z-7e-Chapter,  3,,,,,,,,,
,activate-exam,  2,,,,,,,,,
,bloom-rating,  3,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A17,,,,,,,,,
,ques-code,  ML-275,,,,,,,,,
,topic,  Macro to micro,,,,,,,,,
9,B,,,,,,,,,,
,Z-7e-Chapter,  3,,,,,,,,,
,activate-exam,  2,,,,,,,,,
,bloom-rating,  3+,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A17,,,,,,,,,
,ques-code,  ML-020,,,,,,,,,
,topic,  Limiting Reactant; Mass to moles to mass; Stoichiometry; Unbalanced Rxn,,,,,,,,,
10,E,,,,,,,,,,
,Z-7e-Chapter,  15,,,,,,,,,
,activate-exam,  2,,,,,,,,,
,bloom-rating,  3,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A17,,,,,,,,,
,ques-code,  ML-155,,,,,,,,,
,topic,  Rate Expression,,,,,,,,,
11,C,,,,,,,,,,
,Z-7e-Chapter,  3,,,,,,,,,
,activate-exam,  2,,,,,,,,,
,bloom-rating,  3+,,,,,,,,,
,instructor,  inst3,,,,,,,,,
,qtr,  W18,,,,,,,,,
,ques-code,  ML-537,,,,,,,,,
,topic,  Percent Yield; Products to Reactants; Stoichiometry,,,,,,,,,
12,D,,,,,,,,,,
,Z-7e-Chapter,  13,,,,,,,,,
,activate-exam,  1,,,,,,,,,
,bloom-rating,  2,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A17,,,,,,,,,
,ques-code,  ML-289,,,,,,,,,
,topic,  Lewis Structures; Resonance Structures,,,,,,,,,
13,C,,,,,,,,,,
,Z-7e-Chapter,  12,,,,,,,,,
,activate-exam,  1,,,,,,,,,
,bloom-rating,  3+,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A18,,,,,,,,,
,ques-code,  ML-121,,,,,,,,,
14,A,,,,,,,,,,
,Z-7e-Chapter,  4,,,,,,,,,
,activate-exam,  2,,,,,,,,,
,bloom-rating,  3,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A17,,,,,,,,,
,ques-code,  ML-128,,,,,,,,,
,topic,  Precipitation Rxn; Solubility Rules; Total Ionic Equation,,,,,,,,,
15,C,,,,,,,,,,
,Z-7e-Chapter,  5,,,,,,,,,
,activate-exam,  Final,,,,,,,,,
,bloom-rating,  3,,,,,,,,,
,instructor,  inst2,,,,,,,,,
,qtr,  A18,,,,,,,,,
,ques-code,  ML-187,,,,,,,,,
,topic,  Gas Stoich,,,,,,,,,
16,A,,,,,,,,,,
,Z-7e-Chapter,  4,,,,,,,,,
,activate-exam,  2,,,,,,,,,
,bloom-rating,  3,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A18,,,,,,,,,
,ques-code,  ML-202,,,,,,,,,
,topic,  Neutralization; Solution Stoichiometry; acid-Base Rxn,,,,,,,,,
17,D,,,,,,,,,,
,Z-7e-Chapter,  12,,,,,,,,,
,activate-exam,  1,,,,,,,,,
,bloom-rating,  1,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A16,,,,,,,,,
,ques-code,  ML-214,,,,,,,,,
18,C,,,,,,,,,,
,Z-7e-Chapter,  15,,,,,,,,,
,activate-exam,  Final,,,,,,,,,
,bloom-rating,  4,,,,,,,,,
,instructor,  inst4,,,,,,,,,
,qtr,  A18,,,,,,,,,
,ques-code,  ML-171,,,,,,,,,
,topic,  Initial Slow Step; Reaction Mechanisms,,,,,,,,,
19,B,,,,,,,,,,
,Z-7e-Chapter,  12,,,,,,,,,
,activate-exam,  1,,,,,,,,,
,bloom-rating,  2,,,,,,,,,
,instructor,  inst2,,,,,,,,,
,qtr,  A18,,,,,,,,,
,ques-code,  ML-265,,,,,,,,,
20,B,,,,,,,,,,
,Z-7e-Chapter,  12,,,,,,,,,
,activate-exam,  1,,,,,,,,,
,bloom-rating,  3,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A17,,,,,,,,,
,ques-code,  ML-318,,,,,,,,,
21,D,,,,,,,,,,
,Z-7e-Chapter,  15,,,,,,,,,
,activate-exam,  Final,,,,,,,,,
,bloom-rating,  5,,,,,,,,,
,instructor,  inst2,,,,,,,,,
,qtr,  A18,,,,,,,,,
,ques-code,  ML-179,,,,,,,,,
,topic,  Reaction Mechanisms,,,,,,,,,
22,B,,,,,,,,,,
,Z-7e-Chapter,  3,,,,,,,,,
,activate-exam,  2,,,,,,,,,
,bloom-rating,  3,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A16,,,,,,,,,
,ques-code,  ML-138,,,,,,,,,
,topic,  Macro to micro,,,,,,,,,
23,A,,,,,,,,,,
,Z-7e-Chapter,  3,,,,,,,,,
,activate-exam,  2,,,,,,,,,
,bloom-rating,  3,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A17,,,,,,,,,
,ques-code,  ML-258,,,,,,,,,
,topic,  Empirical Formula; Molecular Formula,,,,,,,,,
24,A,,,,,,,,,,
,Z-7e-Chapter,  3,,,,,,,,,
,activate-exam,  2,,,,,,,,,
,bloom-rating,  3,,,,,,,,,
,instructor,  inst3,,,,,,,,,
,qtr,  W19,,,,,,,,,
,ques-code,  ML-366,,,,,,,,,
,topic,  Empirical Formula; Molecular Formula; Percent Composition,,,,,,,,,
25,E,,,,,,,,,,
,Z-7e-Chapter,  13,,,,,,,,,
,activate-exam,  1,,,,,,,,,
,bloom-rating,  2,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A17,,,,,,,,,
,ques-code,  ML-027,,,,,,,,,
,topic,  Lewis Structures; VSEPR,,,,,,,,,
26,B,,,,,,,,,,
,Z-7e-Chapter,  12,,,,,,,,,
,activate-exam,  1,,,,,,,,,
,bloom-rating,  1,,,,,,,,,
,instructor,  inst4,,,,,,,,,
,qtr,  A18,,,,,,,,,
,ques-code,  ML-057,,,,,,,,,
27,E,,,,,,,,,,
,Z-7e-Chapter,  5,,,,,,,,,
,activate-exam,  Final,,,,,,,,,
,bloom-rating,  3+,,,,,,,,,
,instructor,  inst2,,,,,,,,,
,qtr,  A18,,,,,,,,,
,ques-code,  ML-256,,,,,,,,,
,topic,  Mole Fraction; Partial Pressure,,,,,,,,,
28,A,,,,,,,,,,
,Z-7e-Chapter,  4,,,,,,,,,
,activate-exam,  2,,,,,,,,,
,bloom-rating,  3,,,,,,,,,
,instructor,  inst2,,,,,,,,,
,qtr,  A17,,,,,,,,,
,ques-code,  ML-584,,,,,,,,,
,topic,  Net Ionic Equation; Precipitation Rxn; Solubility Rules,,,,,,,,,
29,A,,,,,,,,,,
,Z-7e-Chapter,  4,,,,,,,,,
,activate-exam,  2,,,,,,,,,
,bloom-rating,  3,,,,,,,,,
,instructor,  inst3,,,,,,,,,
,qtr,  W19,,,,,,,,,
,ques-code,  ML-346,,,,,,,,,
,topic,  Neutralization; Solution Stoichiometry; acid-Base Rxn,,,,,,,,,
30,B,,,,,,,,,,
,Z-7e-Chapter,  5,,,,,,,,,
,activate-exam,  Final,,,,,,,,,
,bloom-rating,  3+,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A16; A17; A18; A19,,,,,,,,,
,ques-code,  ML-002,,,,,,,,,
,topic,  KMT; urms,,,,,,,,,
31,C,,,,,,,,,,
,Z-7e-Chapter,  12,,,,,,,,,
,activate-exam,  1,,,,,,,,,
,bloom-rating,  1,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A17,,,,,,,,,
,ques-code,  ML-069,,,,,,,,,
32,A,,,,,,,,,,
,Z-7e-Chapter,  4,,,,,,,,,
,activate-exam,  2,,,,,,,,,
,bloom-rating,  3,,,,,,,,,
,instructor,  inst2,,,,,,,,,
,qtr,  A18,,,,,,,,,
,ques-code,  ML-312,,,,,,,,,
,topic,  Limiting Reactant; Solution Stoichiometry; acid-Base Rxn,,,,,,,,,
33,C,,,,,,,,,,
,Z-7e-Chapter,  4,,,,,,,,,
,activate-exam,  2,,,,,,,,,
,bloom-rating,  3,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A18,,,,,,,,,
,ques-code,  ML-070,,,,,,,,,
,topic,  Macro to micro; Precipitation Rxn; Solution Stoichiometry,,,,,,,,,
34,A,,,,,,,,,,
,Z-7e-Chapter,  13,,,,,,,,,
,activate-exam,  1,,,,,,,,,
,bloom-rating,  2,,,,,,,,,
,instructor,  inst2,,,,,,,,,
,qtr,  A18,,,,,,,,,
,ques-code,  ML-310,,,,,,,,,
,topic,  Lewis Structures; VSEPR,,,,,,,,,
35,D,,,,,,,,,,
,Z-7e-Chapter,  15,,,,,,,,,
,activate-exam,  Final,,,,,,,,,
,bloom-rating,  2,,,,,,,,,
,instructor,  inst3,,,,,,,,,
,qtr,  W18,,,,,,,,,
,ques-code,  ML-531,,,,,,,,,
,topic,  Method of Initial Rates; Reaction Mechanisms,,,,,,,,,
36,D,,,,,,,,,,
,Z-7e-Chapter,  4,,,,,,,,,
,activate-exam,  2,,,,,,,,,
,bloom-rating,  3+,,,,,,,,,
,instructor,  inst1,,,,,,,,,
,qtr,  A17,,,,,,,,,
,ques-code,  ML-302,,,,,,,,,
,topic,  Limiting Reactant; Redox Rxn; Solution Stoichiometry,,,,,,,,,
37,A,,,,,,,,,,
,Z-7e-Chapter,  12,,,,,,,,,
,activate-exam,  1,,,,,,,,,
,bloom-rating,  2,,,,,,,,,
,instructor,  inst3,,,,,,,,,
,qtr,  W19,,,,,,,,,
,ques-code,  ML-326,,,,,,,,,
