question,answer,Z-7e-Chapter,activate-exam,bloom-rating,instructor,qtr,ques-code,topic,0 ISSUES
1,C,  13,  1,  3,  inst1,  A18,  ML-083,  Formal Charge; Lewis Structures,NA
2,E,  4,  2,  3,  inst3,  W19,  ML-387,  Oxidation State; Redox Rxn,NA
3,C,  4,  2,  2,  inst1,  A16,  ML-211,  Diagram; Limiting Reactant; Precipitation Rxn; Solubility Rules,NA
4,E,  3,  2,  3,  inst1,  A18,  ML-056,  Empirical Formula; Molecular Formula,NA
5,B,  15,  2,  3,  inst1,  A17,  ML-152,  Balance Chemical Rxn; Concentration vs. Time; Diagram,NA
6,E,  12,  1,  2,  inst1,  A16,  ML-181,NA,NA
7,C,  15,  Final,  5,  inst3,  W18,  ML-331,  Method of Initial Rates,NA
8,D,  3,  2,  3,  inst1,  A17,  ML-275,  Macro to micro,NA
9,B,  3,  2,  3+,  inst1,  A17,  ML-020,  Limiting Reactant; Mass to moles to mass; Stoichiometry; Unbalanced Rxn,NA
10,E,  15,  2,  3,  inst1,  A17,  ML-155,  Rate Expression,NA
11,C,  3,  2,  3+,  inst3,  W18,  ML-537,  Percent Yield; Products to Reactants; Stoichiometry,NA
12,D,  13,  1,  2,  inst1,  A17,  ML-289,  Lewis Structures; Resonance Structures,NA
13,C,  12,  1,  3+,  inst1,  A18,  ML-121,NA,NA
14,A,  4,  2,  3,  inst1,  A17,  ML-128,  Precipitation Rxn; Solubility Rules; Total Ionic Equation,NA
15,C,  5,  Final,  3,  inst2,  A18,  ML-187,  Gas Stoich,NA
16,A,  4,  2,  3,  inst1,  A18,  ML-202,  Neutralization; Solution Stoichiometry; acid-Base Rxn,NA
17,D,  12,  1,  1,  inst1,  A16,  ML-214,NA,NA
18,C,  15,  Final,  4,  inst4,  A18,  ML-171,  Initial Slow Step; Reaction Mechanisms,NA
19,B,  12,  1,  2,  inst2,  A18,  ML-265,NA,NA
20,B,  12,  1,  3,  inst1,  A17,  ML-318,NA,NA
21,D,  15,  Final,  5,  inst2,  A18,  ML-179,  Reaction Mechanisms,NA
22,B,  3,  2,  3,  inst1,  A16,  ML-138,  Macro to micro,NA
23,A,  3,  2,  3,  inst1,  A17,  ML-258,  Empirical Formula; Molecular Formula,NA
24,A,  3,  2,  3,  inst3,  W19,  ML-366,  Empirical Formula; Molecular Formula; Percent Composition,NA
